hmmf_panel,compound,Category
BileAcid,12-oxochenodeoxycholic acid,Unconjugated Secondsry BA
BileAcid,12-oxolithocholic acid,Unconjugated Secondsry BA
BileAcid,3-deoxycholic acid,Unconjugated Secondsry BA
BileAcid,3-oxocholic acid,Unconjugated Secondsry BA
BileAcid,3-oxodeoxycholic acid or 3-oxochenodeoxycholic acid,Unconjugated Secondsry BA
BileAcid,3-oxolithocholic acid,Unconjugated Secondsry BA
BileAcid,7-oxodeoxycholic acid,Unconjugated Secondsry BA
BileAcid,7-oxolithocholic acid or 6-oxolithocholic acid,Unconjugated Secondsry BA
BileAcid,allocholic acid,Unconjugated Secondsry BA
BileAcid,alloisolithocholic acid,Unconjugated Secondsry BA
BileAcid,allolithocholic acid,Unconjugated Secondsry BA
BileAcid,alpha-muricholic acid,Unconjugated Secondsry BA
BileAcid,beta-muricholic acid,Unconjugated Secondsry BA
BileAcid,chenodeoxycholic acid,Unconjugated Primary BA
BileAcid,cholic acid,Unconjugated Primary BA
BileAcid,deoxycholic acid,Unconjugated Secondsry BA
BileAcid,gamma-muricholic acid,Unconjugated Secondsry BA
BileAcid,glycochenodeoxycholic acid,Conjugated Primary BA
BileAcid,glycocholic acid,Conjugated Primary BA
BileAcid,glycodehydrocholic acid,Conjugated Secondary BA
BileAcid,glycodeoxycholic acid,Conjugated Secondary BA
BileAcid,glycohyodeoxycholic acid,Conjugated Secondary BA
BileAcid,glycolithocholic acid,Conjugated Secondary BA
BileAcid,glycoursodeoxycholic acid,Conjugated Secondary BA
BileAcid,hyodeoxycholic acid,Unconjugated Secondsry BA
BileAcid,isodeoxycholic acid,Unconjugated Secondsry BA
BileAcid,isolithocholic acid,Unconjugated Secondsry BA
BileAcid,lithocholic acid,Unconjugated Secondsry BA
BileAcid,omega-muricholic acid or 3-epicholic acid,Unconjugated Secondsry BA
BileAcid,tauro-alpha-muricholic acid or tauro-beta-muricholic acid,Conjugated Secondary BA
BileAcid,taurochenodeoxycholic acid,Conjugated Primary BA
BileAcid,taurocholic acid,Conjugated Primary BA
BileAcid,taurodeoxycholic acid,Conjugated Secondary BA
BileAcid,taurohyodeoxycholic acid,Conjugated Secondary BA
BileAcid,taurolithocholic acid,Conjugated Secondary BA
BileAcid,tauroursodeoxycholic acid,Conjugated Secondary BA
BileAcid,ursodeoxycholic acid,Unconjugated Secondsry BA