feature	Enterococcaceae	Streptococcaceae	Bifidobacteriaceae	Saccharomycetaceae	Micrococcaceae	Actinomycetaceae	Lactobacillaceae	Staphylococcaceae	Veillonellaceae	Bacteroidaceae	Lachnospiraceae	Oscillospiraceae	Clostridiaceae	Rikenellaceae	Coriobacteriaceae	Eubacteriales_unclassified	Tannerellaceae	Peptostreptococcaceae	Desulfovibrionaceae	Eubacteriales_Family_XIII_Incertae_Sedis	Sutterellaceae	Eubacteriaceae	Erysipelotrichaceae	Eggerthellaceae	Enterobacteriaceae	Acidaminococcaceae	Eubacteriales_incertae_sedis
220325-LD-037.04	-0.0915034056444755	-4.14051763238592	-7.84520009838048	-11.2609123202061	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230426-LD-438.03	-0.0456325369929894	-13.0677529754158	-16.6024446844936	-15.0079439579559	-7.8591044793056	-9.12323288594864	-9.19941475912124	-9.84027464136657	-16.1324472841644	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230426-LD-456.01	-15.2970127097091	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230426-HT-119.01	-15.2970127097091	-15.5120296778104	-7.61888626667785	-15.0079439579559	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-4.64499755562158	-2.34641632847855	-1.93089464192424	-2.68862877984409	-4.1377737284051	-4.24787043669215	-5.51461134775631	-6.01958349315174	-6.50319026351859	-6.85997769028306	-7.52575315889538	-7.8896020844286	-8.83990979714299	-8.71229910887496	-9.35273688770212	-9.3186624370374	-19.9290624523733	-16.8992197797449	-15.7752571162942
230426-LD-456.05	-15.2970127097091	-2.10780764250026	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-19.3466060686035	-0.380820468985112	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230426-LD-463.01	-1.21010704559865	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-0.81684927345009	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-LD-492.01	-0.0657231057037598	-4.59542468145897	-16.6024446844936	-15.0079439579559	-12.969250914383	-16.6314449890247	-9.35735350343721	-9.36285238059254	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-UC-198.01	-15.2970127097091	-4.65599633618781	-9.14249497994919	-15.0079439579559	-18.4989462015671	-5.92115321428418	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.9580071513811	-0.322424396480038	-6.28473997619717	-8.5500701999059	-13.9964676909796	-16.2591430830832	-7.92825860440769	-19.2473999552595	-11.457232463916	-14.9264708811837	-8.13652751029764	-15.132446627779	-15.1116981096071	-4.46766236930163	-3.84153321678459	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-LD-482.02	-4.7626262062021	-8.24563717852336	-0.278865716624381	-15.0079439579559	-9.27720105741594	-11.3674190793384	-2.93025934368695	-17.5627108898534	-18.9511742187824	-16.9580071513811	-8.74199106841912	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-13.1397544981636	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-LD-496.02	-8.1870443574458	-3.88475677356808	-3.18439707949279	-15.0079439579559	-11.0512261488075	-9.09490461351795	-5.52767154288271	-17.5627108898534	-4.69364115868952	-3.14362993110706	-2.37646000220645	-1.85156645422216	-9.15730933364573	-4.67574684036408	-16.2591430830832	-7.22692102762893	-5.09315773572173	-16.6151410700316	-14.9264708811837	-9.89956120022281	-10.2423746800356	-15.1116981096071	-5.18148864961764	-7.30194705375085	-6.55565868051357	-16.8992197797449	-15.7752571162942
230809-LD-331.02	-15.2970127097091	-5.88548736825117	-0.471632515177271	-15.0079439579559	-18.4989462015671	-11.8029091956581	-5.1065887266232	-17.5627108898534	-6.9076524628317	-4.75648265608501	-3.86431536294581	-5.66380181886173	-8.66553499780456	-7.45017213973627	-16.2591430830832	-12.6475993002996	-8.85928065464658	-11.289526258595	-14.9264708811837	-17.8271855015068	-15.132446627779	-11.1278795182434	-6.25011543275382	-6.84844592653832	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-LD-491.01	-2.80624067573567	-2.15117750814242	-5.5905557597073	-15.0079439579559	-9.17277162714096	-7.93513283830139	-1.42292596806617	-4.40081182256031	-11.1896286027121	-8.43690124956111	-11.8118774727313	-15.9625213842337	-4.21882798525776	-9.58268110788132	-8.2999494783911	-18.0771195366256	-19.2473999552595	-16.6151410700316	-10.632076928119	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-8.24128206890348	-8.62935851703037	-16.8992197797449	-15.7752571162942
230809-LD-492.03	-0.0229840543020287	-9.4555312318074	-16.6024446844936	-15.0079439579559	-9.37305218979511	-9.7130053331339	-6.42314239286102	-15.1190703439907	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-UC-196.01	-15.2970127097091	-5.40200287762547	-0.128848029371211	-11.877901023137	-9.81183614537344	-16.6314449890247	-8.41891372840954	-17.5627108898534	-4.15811484528924	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-LD-499.05	-15.2970127097091	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-19.3466060686035	-0.00491496848358195	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-UC-194.01	-0.958638172170597	-4.01818413755396	-12.102735383385	-15.0079439579559	-7.0038798854849	-8.70118840898691	-1.29882365814203	-17.5627108898534	-9.76748122240133	-16.9580071513811	-9.99025268521838	-15.9625213842337	-10.921169707441	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-8.32468294140529	-16.6757407401323	-19.9290624523733	-11.1411750713742	-15.7752571162942
230809-LD-499.10	-15.2970127097091	-3.88195609335824	-8.08220256633282	-15.0079439579559	-18.4989462015671	-16.6314449890247	-5.65383076059897	-0.172431172588341	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
230809-UC-187.01	-7.5483968806654	-5.53683361622237	-7.36395063458501	-15.0079439579559	-18.4989462015671	-16.6314449890247	-2.15570406293389	-17.5627108898534	-1.84841731086044	-5.89209235013063	-6.76157750231559	-9.25634076641408	-7.77855903703594	-10.0101333193787	-16.2591430830832	-18.0771195366256	-1.7628211214227	-16.6151410700316	-11.6244980534939	-13.9820500581116	-15.132446627779	-15.1116981096071	-3.31550036871694	-9.04878093567983	-4.97414905938219	-16.8992197797449	-15.7752571162942
230809-LD-331.03	-15.2970127097091	-5.19693144316271	-2.35941391401051	-13.5567631414035	-12.3400354232049	-9.24984347771453	-0.960254144111013	-17.5627108898534	-5.25741236249075	-4.40173675698765	-3.33595363147346	-9.71337069111823	-5.69976720963494	-12.4968624357784	-16.2591430830832	-7.18159367700439	-4.68293935968093	-7.73314971918273	-14.9264708811837	-17.8271855015068	-15.132446627779	-11.8643715649743	-6.23390218352709	-7.97600412556504	-14.9754028773625	-16.8992197797449	-15.7752571162942
220706-LD-136.14	-4.73692720568324	-9.82948664766129	-0.104401572589521	-15.0079439579559	-18.4989462015671	-12.4059391933432	-8.33143450077973	-17.5627108898534	-9.30052828005115	-16.9580071513811	-6.13158443892635	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-13.7255195333733	-15.132446627779	-15.1116981096071	-8.75645479731061	-6.9830663135687	-9.22664600936597	-16.8992197797449	-15.7752571162942
220706-LD-317.12	-0.00237229732853271	-15.5120296778104	-16.6024446844936	-9.2494518043741	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
220706-LD-327.02	-5.25451530520267	-3.66396817863575	-2.60542278632742	-15.0079439579559	-18.4989462015671	-15.6314449890247	-1.22853032460725	-17.5627108898534	-3.55967468493014	-3.69791159195444	-3.02358899387387	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-7.96704733969647	-16.8992197797449	-15.7752571162942
220706-LD-363.03	-15.2970127097091	-14.189091427448	-3.97402751751485	-15.0079439579559	-11.5577184617703	-16.6314449890247	-1.41108776802343	-17.5627108898534	-18.9511742187824	-2.9845214587982	-2.60099035596176	-2.74142302996752	-6.87307104060987	-9.64481054624798	-5.97360509647294	-5.23612622884209	-4.20573601810538	-16.6151410700316	-14.9264708811837	-16.0117868956401	-9.72713981683228	-6.83801629329787	-10.9898721192122	-9.84009096384647	-19.9290624523733	-16.8992197797449	-9.58426737545465
220706-UC-098.04	-0.0232765236446962	-9.90172922025192	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-15.7457020240129	-6.40295574153256	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
210327-UC-049.01	-7.2416098216076	-3.74588814694671	-2.18217124065898	-15.0079439579559	-14.5863211483864	-8.31796641061942	-2.42484017091044	-17.5627108898534	-3.43665379571673	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-2.60982051207424	-16.6151410700316	-14.9264708811837	-5.53666704533289	-15.132446627779	-15.1116981096071	-3.89821944514187	-6.78152252189693	-3.1083062400344	-16.8992197797449	-15.7752571162942
211126-LD-146.09	-1.90313082197767	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-0.513964133664975	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-7.11728638500743	-15.1116981096071	-15.0121503648098	-16.6757407401323	-5.31390582802023	-16.8992197797449	-15.7752571162942
211126-LD-191.04	-8.38764660434098	-6.36641528112709	-6.07013332187319	-15.0079439579559	-7.30668383993043	-16.6314449890247	-3.58381534720921	-17.5627108898534	-4.22424501401107	-2.48289343998801	-4.4589830884041	-4.07392124969136	-8.12838426475553	-5.4720480334026	-10.6888599719888	-6.7729075390142	-5.69001826009859	-16.6151410700316	-11.0023692329225	-10.2084105720823	-4.14464747830517	-12.1129996783751	-9.62344807136104	-6.36790256974604	-1.32753341465386	-9.19922656215155	-8.64443530226749
211126-LD-193.09	-0.267796456015111	-2.69485641377415	-16.6024446844936	-15.0079439579559	-7.1302845948911	-16.6314449890247	-7.03223052996765	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
211126-LD-194.05	-9.73226401734926	-0.766406108893767	-1.49100970876883	-15.0079439579559	-18.4989462015671	-16.6314449890247	-4.1814161229196	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
211126-LD-193.02	-7.9322597697272	-8.54641510976056	-4.68094993845334	-15.0079439579559	-14.5101479757849	-16.6314449890247	-6.46567408120227	-17.5627108898534	-3.29675102216722	-1.51963118161678	-2.14954649352536	-3.47030001508946	-5.49593741007652	-6.09165924790127	-10.0683750236442	-5.38888546935083	-4.16991071038406	-11.7800435745518	-8.93885205434956	-10.4746096833975	-14.132446627779	-8.03512464903677	-7.94941071084582	-6.79518388044965	-6.57464234365157	-16.8992197797449	-5.10813180503388
211126-LD-203.04	-0.034940674044895	-12.3754456072135	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-5.3965421876024	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
210423-UC-046.06	-0.0353334415360655	-7.70590937530245	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-6.78554107037955	-6.59916845942243	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
210423-UC-052.04	-0.0268526654724254	-5.77274590051622	-16.6024446844936	-12.7027498788293	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
210122-UC-023.01	-2.51527690572776	-2.80072635861896	-3.97183011749553	-15.0079439579559	-7.37221264372238	-16.6314449890247	-0.879761566850557	-11.0552139590874	-18.9511742187824	-16.9580071513811	-6.4705973408479	-6.75230123624439	-8.36457376140609	-14.9964676909796	-16.2591430830832	-15.629456884659	-19.2473999552595	-5.50464015582112	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-9.61024718884399	-16.6757407401323	-6.064291967254	-16.8992197797449	-15.7752571162942
210122-UC-022.01	-15.2970127097091	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-1.52559520280115	-4.00567712812129	-5.98007922098521	-6.72081703942061	-14.9964676909796	-9.02122667479522	-18.0771195366256	-9.08433182714881	-16.6151410700316	-14.9264708811837	-17.8271855015068	-6.71244430016134	-10.1108156784981	-15.0121503648098	-10.5066685434352	-19.9290624523733	-16.8992197797449	-15.7752571162942
210122-UC-021.02	-15.2970127097091	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-19.3466060686035	-17.5627108898534	-18.9511742187824	-0.798087411984671	-3.76685016041441	-15.9625213842337	-14.8483552010752	-2.53066245623536	-16.2591430830832	-18.0771195366256	-2.69694570563681	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-5.37194650913654	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
220729-UC-013.02	-15.2970127097091	-6.32878852600103	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-0.0181051256706739	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
211126-LD-191.08	-11.2831442136669	-3.98568488020991	-12.0009905776702	-15.0079439579559	-11.729632804191	-10.2003415452162	-1.33183672907115	-17.5627108898534	-5.21142312446647	-3.47546270809115	-2.94870306776375	-3.48154220505354	-4.22563634333126	-8.15214472413273	-16.2591430830832	-8.18128369944844	-6.22615005752845	-16.6151410700316	-10.8818155495931	-17.8271855015068	-7.24359981677383	-5.17615088777623	-4.57803859178236	-7.85188488810795	-4.79097916474797	-6.61835388323707	-15.7752571162942
211126-LD-206.05	-15.2970127097091	-5.74189461033924	-4.00954770458561	-15.0079439579559	-12.0752989080592	-16.6314449890247	-6.75913123867193	-17.5627108898534	-3.57225374433775	-2.89836980603194	-1.47866771462722	-4.12900581762075	-7.57680931454176	-4.64783959737454	-6.21570189419565	-5.13784844151005	-3.97444469890521	-11.2297306613532	-8.10781984234803	-8.8609581598197	-6.43998538525601	-8.13346345815809	-5.78311046189112	-9.44450260836372	-8.10552223010318	-5.51577113735221	-7.68782243990292
210628-UC-060.02	-0.226758054112049	-4.823789318715	-8.10379386636258	-15.0079439579559	-12.2288735469733	-16.6314449890247	-10.6799276737857	-17.5627108898534	-10.9497034356548	-15.9580071513811	-9.63803307150755	-15.9625213842337	-14.8483552010752	-14.9964676909796	-9.47126818674807	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-10.0859940409736	-16.6757407401323	-3.3262131762418	-16.8992197797449	-15.7752571162942
210628-UC-059.02	-0.00175625133118341	-14.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-19.3466060686035	-10.0291934548381	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-12.1713476228577	-16.8992197797449	-15.7752571162942
210628-UC-059.03	-0.000261007141704366	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-19.3466060686035	-12.4325199715911	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
210806-UC-040.02	-2.89128150483474	-3.17482563361651	-4.82099127866271	-15.0079439579559	-10.2288987493707	-12.8976064874873	-7.26845481023537	-17.5627108898534	-6.87165373472371	-1.50752278060663	-16.7858909698591	-4.51444222685103	-5.26302229399244	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-2.91515874893647	-16.6757407401323	-3.71205155547129	-16.8992197797449	-15.7752571162942
210806-LD-095.03	-0.0119465110887923	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-6.92200234761126	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
210806-HT-056.03	-7.40893925398091	-3.09549300037159	-5.46334559267893	-15.0079439579559	-10.9780530526804	-10.019873228375	-1.81206884501526	-17.5627108898534	-6.75376688890343	-2.36933292236488	-1.91285315351792	-6.15678534281406	-7.57363356395486	-14.9964676909796	-16.2591430830832	-18.0771195366256	-9.00624513630465	-8.36095277967192	-10.4130090574467	-13.5638928383422	-7.61798626999567	-15.1116981096071	-6.73943343084415	-8.55503487621046	-4.23304136929249	-16.8992197797449	-15.7752571162942
210806-LD-095.02	-0.0527912397465749	-15.5120296778104	-16.6024446844936	-15.0079439579559	-18.4989462015671	-16.6314449890247	-4.79863914765226	-17.5627108898534	-18.9511742187824	-16.9580071513811	-16.7858909698591	-15.9625213842337	-14.8483552010752	-14.9964676909796	-16.2591430830832	-18.0771195366256	-19.2473999552595	-16.6151410700316	-14.9264708811837	-17.8271855015068	-15.132446627779	-15.1116981096071	-15.0121503648098	-16.6757407401323	-19.9290624523733	-16.8992197797449	-15.7752571162942
